date,company,text,unfair
,배달의 민족,"상품의 주문 및 배달과 관련하여 “업주”와 “이용자”, 배달대행업체, 금융기관 등의 사이에 분쟁 등이 발생하면 관련 당사자가 해결해야 하며, “회사”는 이에 대해 어떠한 책임도 부담하지 않습니다.",TRUE
,배달의 민족,"회사가 관련 법령에 따라 법률상 책임을 지는 경우를 제외하면, 상품의 주문 및 배달과 관련하여 “업주”와 “이용자”, 배달대행업체, 금융기관 등의 사이에 분쟁 등이 발생하면 관련 당사자가 해결해야 합니다.",FALSE
,요기요,“요기요”는 이용자가 구매한 재화 등이 시간을 초과하여 배달되거나 약속한 시간 내에 배달되지 않음으로 인한 이용자의 손해를 배상할 의무가 없으며 배달지연에 대한 책임을 가맹점에서 집니다.,TRUE
,요기요,“요기요”는 이용자가 구매한 재화 등이 시간을 초과하여 배달되거나 약속한 시간 내에 배달되지 않음으로 인한 이용자의 손해에 대하여 요기요의 귀책사유에 따른 책임을 부담할 수 있습니다.,FALSE
,배달의민족, “회사”는 기타 이 약관에 위배되거나 위법 또는 부당한 이용신청임이 확인된 경우 및 회사가 합리적인 판단에 의하여 필요하다고 인정하는 경우 승인을 하지 않거나 사후에 이용계약을 해지할 수 있습니다.,TRUE
,배달의민족, “회사”는기타 이 약관에 위배되거나 위법 또는 부당한 이용신청임이 확인된 경우 및 이에 준하는 사유가 발생한 경우 승인을 하지 않을 수 있습니다.,FALSE
,배달의민족,"“회사”는 기타 “회원”이 이 약관 및 “회사”의 정책에 위배되는 행위를 하거나 이 약관에서 정한 해지사유가 발생한 경우, 이용계약을 해지할 수 있습니다. ",TRUE
,배달의민족,"“회사”는 기타 “회원”이 이 약관에 위배되는 행위를 하거나 이 약관에서 정한 해지사유가 발생한 경우, 이용계약을 해지할 수 있습니다. ",FALSE
,요기요,"회사는 회원이 본 약관에서 정한 회원의 의무를 위반한 경우 등 비정상적인 이용 또는 부당한 이용 등을 이유로 회원에게 사전에 고지하고, 계약을 해지할 수 있습니다.",TRUE
,요기요,"회사는 회원이 본 약관에서 정한 회원의 의무를 위반하거나, 위법한 방법을 통해 서비스의 정상적인 운영을 방해한 경우, 회원에게 사전에 고지하고, 계약을 해지할 수 있습니다.",FALSE
,요기요,"다만, 다음 각 호의 어느 하나에 해당하는 게시물에 대해서는 이용자에게 공개적 또는 개별적으로 경고한 후 삭제할 수 있지만, 상기 경고는 회사의 판단에 따라 생략할 수 있습니다.",TRUE
,요기요,"회사는 귀하가 작성하는 리뷰 등 게시물을 소중하게 생각하며 변조, 훼손, 삭제되지 않도록 최선을 다하여 보호합니다. ",FALSE
,요기요,"다음 각 호의 어느 하나에 해당하는 게시물에 대해서는 이용자에게 개별적으로 고지한 후 제한할 수 있으나, 위법행위가 명백하거나 이를 방치하면 회복할 수 없는 중대한 피해가 발생할 우려가 존재하는 경우 또는 이미 위 절차에 따라 삭제된 게시물의 내용과 유사한 내용을 반복적으로 게시하는 경우, 위와 같은 고지절차를 생략하고 해당 게시물을 일시적으로 제한할 수 있습니다. 귀하는 당사 고객센터를 통해 위와 같은 일시적인 제한에 대하여 이의를 제기할 수 있습니다.",FALSE
